,original,predicted,score
0,None,None,None
1,None,None,None
2,None,None,None
3,None,None,None
4,None,None,None
5,None,None,None
6,материал «14/88»,"текст аудиоматериала, содержащийся в аудиофайле «дэвид лэйн - письме мертвой рассе!!! 14/88» (",24.900000000000002
7,None,None,None
8,запись «не покупай у чурок» группы «коловрат» аудиозапись «не покупай у чурок» аудиозаписи «не покупай у чурок»,"аудиозаписи: «p.s.7.62 - «белые воины», «rgd 88 - «черные рожи», «tnf - «шторм», «банда москвы - «иммигрант», «банда москвы - «определись!», «банда москвы - «отряды нс», «банда москвы - «ребята коловрата», «железный порядок - «белые шнурки», «коловрат - «не покупай у чурок!», «коловрат - «правый скинхед», «русский стяг - «мы - русские люди», а также фотографии в количестве 12 штук: №№ 105, но, 114, 130, 153, 157, 158, 207, 208, 219, 226, 227, размещенные на страницы группы «белый курган» на интернет-ресурсе http://vk.com/dfsdffsd (",49.79999999999998
9,наименованием «русские вперед»,"информация, размещенная на электронной странице группы «партия националистов. русские забайкальский край» https://vk.com/club8720443 сайта vk.com социальной сети « »; текст с названием «манифест этнополитического объединения русские», начинающийся словами: «мы, русский народ, лишившись своего государства в 1917году …..», и заканчивающийся словами: «мы – русские! мы победим! политический совет русских. москва, 11 июня 2011 года»; текст «русский марш пройдет во владивостоке!!! приходи сам и расскажи друзьям!», начинающийся словами: «несмотря на старания агентуры путинских спецслужб....», и заканчивающийся словами: «русские вперед! русский порядок – на русской земле!»; видеофайл (видеоролик) «дпни», продолжительностью 4 мин. 20 сек., начинающийся с изображения стилизованного щита и текста «дпни тв», далее отображается надпись «зараза», заканчивающийся словами «доброго здоровья вам русские люди», изображения стилизованного щита и текста «дпни тв» (",24.6
10,файл «правду говорят скинхеды» названием «правду говорят скинхеды» материал: «правду говорят скинхеды» материал «правду говорят скинхеды» видеофайл «правду говорят скинхеды» видеоматериал «правду говорят скинхеды» видеоматериал: «правду говорят скинхеды»,"«видеоролик под названиями - правду говорят скины», «я не хочу быть толерантным» и «видео о толерантности», продолжительностью 6 минут 5 секунд, начинающийся с заставки фотоизображения и высказывания государственного деятеля российской империи следующего содержания: «народ, не имеющий национального само сознания - навоз, на котором произрастают другие народы. петр аркадьевич столыпин великий русский реформатор», и заканчивающийся изображением летящих птиц с текстом: ««мы должны защитить существование нашего народа и будущее наших детей» дейвид лейн», видеоряд которого сопровождается аудио текстом, начинающимся со слов: «машина либеральной пропаганды, машина лжи, день за днем ...» и заканчивающимся словами: «... и только от нас зависит будущее нашей страны, будущее наших родных и близких», выявленный по адресам: - https://vk.com/idl88683825 - https://www.ok.ru/video/9820702060 - https://www.youtube.com/watch?v=jzubocyhpwq, - https://www.youtube.com/watch?v=vtqcsgitpvg, https://vk.com/video304000382_171736778 (",4.6
11,None,None,None
12,None,None,None
13,материал «последнее интервью приморский партизан» видеоматериал «последнее интервью приморский партизан»,"видеоклип «последнее интервью приморских партизан», размещенный в международной компьютерной сети интернет на сайте социальной сети www.vkontakte.ru (",6.8999999999999995
14,None,None,None
