,predicted,case_number,category
0,None,3287,
1,«припомним жуликам и ворам их манифест-2002»,137,политический
2,"информация в виде изображения, содержащего надпись «русский проснись! враг хозяйничает на твоей земле!», изображения, содержащего надписи «я патриот это моя земля!!! это моя родина!!! славянин! хватит спать родина в беде! родине нужна твоя воля! вступай в ряды националистов», видеозапись «напиток и луперкаль», видеофайл «напиток и луперкаль.mp4», видеозапись «брунсвиг-белый отряд», видеофайл «брунсвиг-белый отряд.mp4», видеозапись «грот и 25/17- просыпайтесь», видеофайл «грот и 25_17- просыпайтесь.mp4», видеозапись «слава руси!!!», видеофайл «слава руси.mp4», видеозапись «бей чурбанье!!! бей чурок!!!», видеофайл «бей чурбанье бей чурок.mp4», аудиозапись «12 июня - россия для других, русь - мать для меня!», аудиофайл «12 июня.mp3», размещенные в глобальной сети «интернет» по адресу http://vk.com/id133320504 пользователем «виктор владимиров» (",113,национализм
3,"аудиофайлы с названиями «банда москвы виват россии.mp.3» и «грот-дым.mp3» (url-адрес: http:vk.com/id6641584, социальная сеть « ») (",112,национализм
4,"информационные материалы - записи песен, предположительно, автора и исполнителя муцураева тимура хамзатовича (хасановича), содержащиеся на носителе - компакт-диске под номерами файлов: № 5 песня «и распахнутся ворота...»; № 7 песня «в мечтах и грезах смутно виден рай...»; № 8 песня «мир, содрогнись и на колени встань...»; № 11 песня «звучит коран, ему внимают нахи...»; № 12 песня «о аллах, мир окутан страшной мглой!...»; № 15 песня «нам ниспослана милость от грешных услад...»; № 20 песня «багрово на закате солнце...»; № 21 песня «пустынны улицы аварского села...»; № 25 песня «агрессоры в селе алхан-кала...»; № 26 песня «тюрьма племен, империя-палач...»; № 31 песня «спустилась тьма, безмолвие в горах...»; № 36 песня «туман над горами встает...»; № 40 песня «вставай чечня, пора в поход!...»; № 56 песня «снова начинается день...»; № 61 песня «в бой сыны кавказа, лучшие сыны...»; № 70 песня «чеченцы, услышьте, услышьте мой зов...»; № 78 песня «ночь холодна, опасен путь...»; № 82 и № 91 песня «черных дней череда, трудный час наступил...»; № 96 песня «по меньшей мере, войны шли лет триста...», № 98 песня «еще один рывок, еще рывок вперед...» (",94,национализм (кавказ)
5,"текстовая часть аудиозаписи «p.s.7.62 - улица кадырова» длительностью 03 минуты 18 секунд, начинающаяся словами: «во столице есть теперь улица кадырова..» и заканчивающаяся словами: «…следующий мой удар будет по кремлю», размещенная пользователем «владимир мартынов» на официальном интернет- сайте на веб сервисе сайта « »; текстовая часть аудиозаписи «симаргл - бывший скин» длительностью 03 минуты 44 секунды, начинающаяся словами: «пара старых берцев, подтяжки и кельт..» и заканчивающаяся словами: «…перестал быть скинхедом, но остался патриотом», размещенная пользователем «владимир мартынов» на официальном интернет сайте на веб-сервисе сайта « »; текстовая часть аудиозаписи «коловрат - хоронят скина» длительностью 02 минуты 09 секунд, начинающаяся словами: «несут, хоронят. плачут мать, отец...» и заканчивающаяся словами: «…твой черёд пришёл отомстить», размещенная пользователем «владимир мартынов» на официальном интернет-сайте на веб сервисе сайта « »; текстовая часть аудиозаписи «sel'mi - на стягу коловрат (всем славянам)» длительностью 03 минуты 08 секунд, начинающаяся словами: «мы стали сплочённее, за плечами четверть века..» и заканчивающаяся словами: «…стирая границы, ох погуляют славяне», размещенная пользователем «владимир мартынов» на официальном интернет- сайте на веб сервисе сайта « »; текстовая часть аудиозаписи «коррозия металла - хайль фюрер!» длительностью 03 минуты 56 секунд, начинающаяся словами: «хайль фюрер, веди нас в бой…» и заканчивающаяся словами: «…будет корчиться в аду и болтаться на суку», размещенная пользователем «владимир мартынов» на официальном интернет- сайте на веб-сервисе сайта « » (",76,национализм
6,"аудиозаписи: «p.s.7.62 - «белые воины», «rgd 88 - «черные рожи», «tnf - «шторм», «банда москвы - «иммигрант», «банда москвы - «определись!», «банда москвы - «отряды нс», «банда москвы - «ребята коловрата», «железный порядок - «белые шнурки», «коловрат - «не покупай у чурок!», «коловрат - «правый скинхед», «русский стяг - «мы - русские люди», а также фотографии в количестве 12 штук: №№ 105, но, 114, 130, 153, 157, 158, 207, 208, 219, 226, 227, размещенные на страницы группы «белый курган» на интернет-ресурсе http://vk.com/dfsdffsd (",63,национализм
7,музыкальное произведение «радикальный голос» группы «коловрат» (,62,национализм
8,"цикл фильмов «игры богов», состоящий из восьми актов: «театр», «артисты и зрители», «эстетика», «общение. музыка. слово», «правильное образование» (в трех частях), «славянские привычки», «живой огонь» (в четырех частях), «мир» (в двух частях) (",59,старообрядчество
9,"видеозапись «тимур муцураев – иерусалим *1998 г.*» длительностью 9 минут 37 секунд, размещенная на сайте www.youtube.com по электронному адресу: http:// www.youtube.com/watch?v=xrbideonmha (",52,национализм (кавказ)
