,material
0,"музыкальный альбом ""музыка белых"", автор - музыкальная группа order,"
1,"книга ""книга единобожия"", автор - мухаммад ибн сулейман ат-тамими, источник публикации - некоммерческое партнерство ""издательский дом ""бадр"","
2,"письма рады земли кубанской духовно-родовой державы русь, авторы - н.м. лозинский, в.м. герасев,"
3,"печатные материалы в газете ""для русских людей"" n 1(1), июнь 2002 г.; n 2 (2), август 2002 г.; n 3, октябрь 2002 г.; n 4, ноябрь 2002 г.; n 5, декабрь 2002 г.; 2003 г. n 6, 7,"
4,"кинофильм ""вечный жид"","
5,"брошюра ""мать-земля: чудо-чудное, диво-дивное. введение в геобиологию"", автор - а.а. добровольский, источник публикации - когуп ""котельничская типография"","
6,"брошюра ""язычество как волшебство"", автор - а.а. добровольский, источник публикации - когуп ""котельничская типография"","
7,"брошюра ""кто боится русского национал-социализма"", автор - а.а. добровольский, источник публикации - когуп ""кировская областная типография"","
8,"брошюра ""иудохристианская чума"", автор - а.а. добровольский, источник публикации - когуп ""кировская областная типография"","
9,"брошюра ""святославие"", автор - а.а. добровольский, источник публикации - типография завода ""маяк"","
10,"статья ""однажды мы придем с гнилыми помидорами..."", автор - а.а. николаенко, источник публикации - газета ""беловская копейка"" n 1 от 11 ноября 2002 года,"
11,"статья ""сс стучится в вашу дверь, сволочи..."", автор - а.а. николаенко, источник публикации - газета ""курс"" n 49 от 6 декабря 2002 года,"
12,"статья ""исполняющий обязанности властителя дум"", автор - а.а. николаенко, источник публикации - газета ""курс"" n 8 от 21 февраля 2003 года,"
13,"статья ""самая конструктивная партия"", автор - а.а. николаенко, источник публикации - газета ""курс"" n 43 от 22 октября 2004 года,"
14,"книга ""сквозь призму ислама"", автор – абд-аль хади ибн али ("
15,"газеты ""я русский. нижнее поволжье"" № 1 и № 2, 2005 г. ("
16,"брошюра «церберы свободы» № 11, 2005г. ("
17,"информационные материалы – отклики на материалы по событиям в харагуне на сайте «народный контроль», стр.4, газета ""русское забайкалье"", № 7 от 11.09.2006 ("
18,журнал «вихрь. национал-социалистическое издание вятка № 1» (
19,"газета русского государства ""весть"", автор – вострягов в.а. издавалась в ооо «сандерс» (средство массовой информации)."
20,"брошюра ""русское государство"", автор – вострягов в.а. издавалась в ооо «сандерс» (средство массовой информации."
21,"брошюра ""государство - это мы"", автор – вострягов в.а. издавалась в ооо «сандерс» (средство массовой информации)."
22,"брошюра ""каббала"", автор – вострягов в.а. издавалась в ооо «сандерс» (средство массовой информации)."
23,"брошюра ""каббала - 2"", автор – вострягов в.а. издавалась в ооо «сандерс» (средство массовой информации)."
24,"брошюра ""правда о происхождении иисуса христа и девы марии"", автор – вострягов в.а. издавалась в ооо «сандерс» (средство массовой информации)."
25,"брошюра ""русский народ и конституция рф"", автор – вострягов в.а. издавалась в ооо «сандерс» (средство массовой информации)."
26,"брошюра ""это должен знать русский», автор – вострягов в.а. издавалась в ооо «сандерс» (средство массовой информации)."
27,"брошюра ""что делать….."", автор – вострягов в.а. издавалась в ооо «сандерс» (средство массовой информации)."
28,"брошюра ""сарынь на кичку!"", автор добровольский а.а. издавалось в оао «дом печати «вятка»."
29,"брошюра ""язычество: закат и рассвет"", автор добровольский а.а. издавалось в оао «дом печати «вятка»."
30,"газета «дивизия» №1 - газета русского прикамья, 2001 ("
31,"газета «ижевская дивизия» № 2,3,4,5 - газета русского прикамья, 2001 ("
32,dvd -диск «зов к исламской умме. как долго еще?» (
33,книга такиуддина ан-набохони «система ислама» (
34,книга такиуддина ан-набохони «исламское государство» (
35,книга такиуддина ан-набохони «демократия – система безверия» (
36,книга такиуддина ан-набохони «политическая концепция хизб ут-тахрир». (
37,журнал «аль-ваъй» № 215 (
38,журнал «аль-ваъй» № 221 (
39,журнал «аль-ваъй» № 230 (
40,журнал «аль-ваъй» № 233 (
41,журнал «аль-ваъй» № 234 (
42,журнал «аль-ваъй» № 235 (
43,журнал «аль-ваъй» № 236 (
44,"книга из собраний сочинений саида нурси «рисале-и нур» «вера и человек», 2000 год издания, перевод м.г. тамимдарова ("
45,"книга из собраний сочинений саида нурси «рисале-и нур» «основы искренности», 2000 год издания, переводчик не указан ("
46,"книга из собраний сочинений саида нурси «рисале-и нур» «истины вечности души», 2000 год издания, перевод м.ш. абдуллаева ("
47,"книга из собраний сочинений саида нурси «рисале-и нур» «истины веры», 2000 год издания, переводчик не указан ("
48,"книга из собраний сочинений саида нурси «рисале-и нур» «путеводитель для женщин», 2000 год издания, перевод м.ш. абдуллаева ("
49,"книга из собраний сочинений саида нурси «рисале-и нур» «плоды веры», 2000 год издания, перевод м.г. тамимдарова ("
50,"книга из собраний сочинений саида нурси «рисале-и нур» «рамадан. бережливость. благодарность», 2000 год издания, переводчик не указан ("
