,key_sents
0,
1,
2,
3,
4,
5,
6,материал «14/88»
7,
8,запись «не покупай у чурок» группы «коловрат» аудиозапись «не покупай у чурок» аудиозаписи «не покупай у чурок»
9,наименованием «русские вперед»
10,файл «правду говорят скинхеды» названием «правду говорят скинхеды» материал: «правду говорят скинхеды» материал «правду говорят скинхеды» видеофайл «правду говорят скинхеды» видеоматериал «правду говорят скинхеды» видеоматериал: «правду говорят скинхеды»
11,
12,
13,материал «последнее интервью приморский партизан» видеоматериал «последнее интервью приморский партизан»
14,
15,файл «правду говорят скинхеды» названием «правду говорят скинхеды» материал: «правду говорят скинхеды» материал «правду говорят скинхеды» видеофайл «правду говорят скинхеды» видеоматериал «правду говорят скинхеды» видеоматериал: «правду говорят скинхеды»
16,видеофайла «обращение к чуркам» файла «обращение к чуркам» файл «обращение к чуркам» видеофайл «обращение к чуркам»
17,видеофайл «обращение бойцов славянского союза к русским» видеофайла «обращение бойцов славянского союза к русским» файл «обращение бойцов славянского союза к русским» файла «обращение бойцов славянского союза к русским»
18,
19,
20,
21,"словами: «…сестры и братья, просыпайтесь, пока не поздно!» названием «25-17- просыпайтесь» названием «25-17-просыпайтесь» словами: «у тебя не было ощущения. что ничего хорошего…»"
22,
23,видеофайлы «f.p.g. – ботинки» файлы «f.p.g. – ботинки»
24,группе «ищу старый оскол»
25,
26,видеоролик «монгол шуудан – бей жидов – спасай россию!» аудиозапись «монгол шуудан – бей жидов – спасай россию!» названием «свободы или смерть» аудиозаписи «монгол шуудан – бей жидов – спасай россию!» запись «монгол шуудан – бей жидов – спасай россию!» названием «сводоба или смерть» названием «свобода или смерть»
27,
28,
29,
30,аудиозапись «25/17 – будь белым» запись «25/17 – будь белым»
31,названием «негодники скинхеды обижают кавказцев»
32,
33,
34,слов «будь русским!...» словами «...е. скворешнев»
35,
36,
37,
38,
39,названием «покушение на россию»
40,
41,группы «коррозия металла»
42,
43,файл «игры богов. «общение. музыка. слово» видеофайл «игры богов. «общение. музыка. слово» фильмов «игры богов»
44,
45,
46,
47,название «исламская умма» словами: «мы прежде смерть вкусить должны..» видеоролик «тимур муцураев – исламская умма»
48,"аудиозаписей ""русский стяг – мы идем"" аудиозаписи ""русский стяг – мы идем"" аудиозаписи"" размещены на хранении с целью использования (прослушивания) и массового распространения аудиозаписи """
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,файлы: «мусульмане латвии (нашид на русском) призыв»
60,
61,
62,"материал «инша аллах1, мы непременно освободим кавказ и … пришло время для настоящих мужчин» наименованием «сальма салимовна»"
63,наименование «взрыв говд в назрани . смотреть до конца» наименованием «взрыв говд в назрани 2009г. смотреть до конца»
64,
65,файл «тимур шейх саид бурятский: «ответ критикам» наименованиемвидеофайл «тимур шейх саид бурятский: «ответ критикам»
